,0
533,3
534,9
535,7
536,8
537,6
538,7
539,8
540,7
541,12
542,6
543,7
544,12
545,6
546,9
547,7
548,5
549,5
550,5
551,4
552,4
553,7
554,3
555,8
556,4
557,9
558,5
559,7
560,3
561,0
562,3
563,5
564,1
565,8
566,3
567,6
568,2
569,4
570,0
571,7
572,1
573,4
574,6
575,2
576,2
577,4
578,2
579,1
580,12
581,0
582,3
583,3
584,4
585,2
586,3
587,0
588,2
589,3
590,2
591,2
592,3
593,1
594,3
595,3
596,3
597,1
598,0
599,0
600,0
601,1
602,0
603,1
604,0
605,1
606,0
607,0
608,1
609,0
610,0
611,0
612,1
613,1
614,1
615,0
616,0
617,0
618,0
619,0
620,0
621,3
622,0
623,0
624,0
625,0
626,0
627,1
628,0
629,2
630,0
631,0
632,0
633,0
634,1
635,0
636,1
637,1
638,0
639,0
640,1
641,2
642,1
643,1
644,0
645,1
646,0
647,1
648,0
649,3
650,0
651,0
652,1
653,0
654,0
655,3
656,0
657,0
658,2
659,0
660,0
661,3
662,1
663,3
664,1
665,0
666,1
667,1
668,1
669,1
670,1
671,0
672,2
673,1
674,4
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
